Sample,Condition,CellLine,AspectRatio
2,Random,Bone Clone,3.24141309078598
2,Random,Bone Clone,1.55066359440046
2,Random,Bone Clone,1.21320022698774
2,Random,Bone Clone,1.54757592051692
2,Random,Bone Clone,1.27176393374894
3,Random,Bone Clone,1.87557810186184
3,Random,Bone Clone,1.36889491300605
3,Random,Bone Clone,1.25728214879175
3,Random,Bone Clone,1.18542348579004
3,Random,Bone Clone,1.48802797095405
3,Random,Bone Clone,1.61062864805941
3,Random,Bone Clone,1.63944969048898
3,Random,Bone Clone,1.52410349537963
3,Random,Bone Clone,1.49024539205502
3,Random,Bone Clone,1.18545570612028
3,Random,Bone Clone,1.56805710037691
3,Random,Bone Clone,1.34404608014553
3,Random,Bone Clone,1.67403993101274
3,Random,Bone Clone,1.26345770999054
3,Random,Bone Clone,2.60394697001731
3,Random,Bone Clone,1.84525457451031
3,Random,Bone Clone,1.35985678900703
3,Random,Bone Clone,1.29563575754488
3,Random,Bone Clone,1.75323331577369
3,Random,Bone Clone,1.29447680425118
3,Random,Bone Clone,1.16326244455206
3,Random,Bone Clone,1.79514010702472
3,Random,Bone Clone,1.30551983899924
3,Random,Bone Clone,1.12460733753568
3,Random,Bone Clone,1.5382988218742
3,Random,Bone Clone,3.87035816605318
3,Random,Bone Clone,1.50825967965335
3,Random,Bone Clone,1.23349075072672
3,Random,Bone Clone,1.39237601555787
3,Random,Bone Clone,1.35724550723961
3,Random,Bone Clone,1.41183862492466
3,Random,Bone Clone,1.13678463397625
3,Random,Bone Clone,1.24707369965064
3,Random,Bone Clone,1.35149035327568
3,Random,Bone Clone,1.29279934780741
3,Random,Bone Clone,1.18075631186141
3,Random,Bone Clone,1.77321192571335
3,Random,Bone Clone,3.37222691395011
3,Random,Bone Clone,1.4798427141825
3,Random,Bone Clone,1.11776733177873
3,Random,Bone Clone,1.6688792780545
3,Random,Bone Clone,1.69326987171614
3,Random,Bone Clone,1.18706709240413
3,Random,Bone Clone,1.32091169739654
3,Random,Bone Clone,1.17955503886988
3,Random,Bone Clone,1.75681394639118
3,Random,Bone Clone,2.36696553841138
3,Random,Bone Clone,1.57288696112857
3,Random,Bone Clone,1.24972470539808
3,Random,Bone Clone,1.15721447788184
3,Random,Bone Clone,2.10741687029778
